title,gross_revenue,n_theaters,opening_revenue,release_date,wiki_page,page_created_date
Honeydew,"$32,890",14,"$13,767",2021-03-12,Honeydew_(film),2021-03-01
The God Committee,"$32,934",28,"$12,237",2021-07-02,The_God_Committee,2020-03-07
Cryptozoo,"$33,765",45,"$12,891",2021-08-20,Cryptozoo,2021-02-02
Mainstream,"$35,696",76,"$19,745",2021-05-07,Mainstream_(film),2019-05-14
Falling for Figaro,"$35,910",44,"$14,335",2021-10-01,Falling_for_Figaro,2021-10-17
Schemes in Antiques,"$36,501",28,"$36,501",2021-12-17,Schemes_in_Antiques,2020-04-12
Heart of Champions,"$37,000",102,"$37,000",2021-10-29,Heart_of_Champions,2020-03-05
"All Light, Everywhere","$37,266",2,"$5,376",2021-06-04,"All_Light,_Everywhere",2021-02-17
Little Fish,"$39,053",84,"$21,555",2021-02-05,Little_Fish_(2021_film),2019-03-11
Luzzu,"$39,948",1,"$2,394",2021-10-15,Luzzu_(film),2021-01-02
Senior Moment,"$41,598",57,"$16,543",2021-03-26,Senior_Moment,2021-02-24
Old Henry,"$42,068",30,"$21,161",2021-10-01,Old_Henry,2021-01-14
Some Kind of Heaven,"$43,492",54,"$9,820",2021-01-08,Some_Kind_of_Heaven,2020-03-23
The Scary of Sixty-First,"$45,005",1,"$7,808",2021-12-03,The_Scary_of_Sixty-First,2021-03-01
MLK/FBI,"$45,200",120,"$21,603",2021-01-15,MLK/FBI,2020-09-23
Last Call,"$48,144",110,"$29,610",2021-03-19,Last_Call_(2020_film),2022-08-17
France,"$49,347",2,"$5,811",2021-12-10,France_(film),2019-11-10
Mogul Mowgli,"$52,539",13,"$13,388",2021-09-03,Mogul_Mowgli,2019-03-28
Memoria,"$52,656",1,"$6,797",2021-12-26,Memoria_(2021_film),2019-08-27
Dara of Jasenovac,"$52,786",12,"$16,710",2021-02-05,Dara_of_Jasenovac,2020-05-25
Azor,"$53,932",2,"$6,320",2021-09-10,Azor_(film),2021-02-10
